notifyd-soak-oracle begin
[slope t=1m] port: alloc=538 destroy=538 delta=0 | dn: req=0 fire=0 | msg: s=3098 r=3139
[slope t=2m] port: alloc=1118 destroy=1118 delta=0 | dn: req=0 fire=0 | msg: s=6411 r=6501
[slope t=3m] port: alloc=1688 destroy=1688 delta=0 | dn: req=0 fire=0 | msg: s=9695 r=9830
[slope t=4m] port: alloc=2268 destroy=2268 delta=0 | dn: req=0 fire=0 | msg: s=13026 r=13212
[slope t=5m] port: alloc=2838 destroy=2838 delta=0 | dn: req=0 fire=0 | msg: s=16287 r=16519
[slope t=6m] port: alloc=3408 destroy=3408 delta=0 | dn: req=0 fire=0 | msg: s=19536 r=19812
[slope t=7m] port: alloc=3970 destroy=3970 delta=0 | dn: req=0 fire=0 | msg: s=22743 r=23069
[slope t=8m] port: alloc=4538 destroy=4538 delta=0 | dn: req=0 fire=0 | msg: s=25938 r=26317
[slope t=9m] port: alloc=5108 destroy=5108 delta=0 | dn: req=0 fire=0 | msg: s=29214 r=29644
[slope t=10m] port: alloc=5658 destroy=5658 delta=0 | dn: req=0 fire=0 | msg: s=32268 r=32741
[slope t=11m] port: alloc=6228 destroy=6228 delta=0 | dn: req=0 fire=0 | msg: s=35432 r=35945
[slope t=12m] port: alloc=6782 destroy=6780 delta=2 | dn: req=0 fire=0 | msg: s=38507 r=39066
[slope t=13m] port: alloc=7348 destroy=7348 delta=0 | dn: req=0 fire=0 | msg: s=41668 r=42269
[slope t=14m] port: alloc=7898 destroy=7898 delta=0 | dn: req=0 fire=0 | msg: s=44679 r=45322
[slope t=15m] port: alloc=8448 destroy=8448 delta=0 | dn: req=0 fire=0 | msg: s=47662 r=48346
[slope t=16m] port: alloc=9008 destroy=9008 delta=0 | dn: req=0 fire=0 | msg: s=50766 r=51495
[slope t=17m] port: alloc=9568 destroy=9568 delta=0 | dn: req=0 fire=0 | msg: s=53870 r=54651
[slope t=18m] port: alloc=10118 destroy=10118 delta=0 | dn: req=0 fire=0 | msg: s=56913 r=57743
[slope t=19m] port: alloc=10678 destroy=10678 delta=0 | dn: req=0 fire=0 | msg: s=60012 r=60889
[slope t=20m] port: alloc=11238 destroy=11238 delta=0 | dn: req=0 fire=0 | msg: s=63123 r=64043
[slope t=21m] port: alloc=11798 destroy=11798 delta=0 | dn: req=0 fire=0 | msg: s=66270 r=67239
[slope t=22m] port: alloc=12348 destroy=12348 delta=0 | dn: req=0 fire=0 | msg: s=69326 r=70338
[slope t=23m] port: alloc=12898 destroy=12898 delta=0 | dn: req=0 fire=0 | msg: s=72371 r=73425
[slope t=24m] port: alloc=13448 destroy=13448 delta=0 | dn: req=0 fire=0 | msg: s=75392 r=76482
[slope t=25m] port: alloc=14008 destroy=14008 delta=0 | dn: req=0 fire=0 | msg: s=78498 r=79628
[slope t=26m] port: alloc=14558 destroy=14558 delta=0 | dn: req=0 fire=0 | msg: s=81516 r=82686
[slope t=27m] port: alloc=15118 destroy=15118 delta=0 | dn: req=0 fire=0 | msg: s=84665 r=85882
[slope t=28m] port: alloc=15668 destroy=15668 delta=0 | dn: req=0 fire=0 | msg: s=87725 r=88984
[slope t=29m] port: alloc=16228 destroy=16228 delta=0 | dn: req=0 fire=0 | msg: s=90812 r=92108
[slope t=30m] port: alloc=16778 destroy=16778 delta=0 | dn: req=0 fire=0 | msg: s=93880 r=95221
[slope t=31m] port: alloc=17318 destroy=17318 delta=0 | dn: req=0 fire=0 | msg: s=96874 r=98251
[slope t=32m] port: alloc=17868 destroy=17868 delta=0 | dn: req=0 fire=0 | msg: s=99877 r=101292
[slope t=33m] port: alloc=18428 destroy=18428 delta=0 | dn: req=0 fire=0 | msg: s=102959 r=104414
[slope t=34m] port: alloc=18978 destroy=18978 delta=0 | dn: req=0 fire=0 | msg: s=105975 r=107468
[slope t=35m] port: alloc=19518 destroy=19518 delta=0 | dn: req=0 fire=0 | msg: s=108950 r=110482
[slope t=36m] port: alloc=20078 destroy=20078 delta=0 | dn: req=0 fire=0 | msg: s=111962 r=113533
[slope t=37m] port: alloc=20618 destroy=20618 delta=0 | dn: req=0 fire=0 | msg: s=114889 r=116498
[slope t=38m] port: alloc=21168 destroy=21168 delta=0 | dn: req=0 fire=0 | msg: s=117881 r=119535
